"","Request.id","Pickup.point","Driver.id","Status","Request.timestamp","Requested.Date","Requested.Time","Drop.timestamp","Drop.Date","Drop.Time","Request.Date.Hour","Request.Date.Mins","Drop.Date.Hour","Drop.Date.Mins","travel.time.mins","trip.direction","new_seq","RequestedTimeSlot","wait_time"
"1",1363,"Airport",136,"Trip Completed",2016-07-11 00:00:00,"2016-07-11","00:00:00",2016-07-11 01:11:00,"2016-07-11","01:11:00",0,0,1,11,71,"Airport to City",1,"Late Night (00:00 to 04:00)",NA
"2",1362,"City",NA,"No Cars Available",2016-07-11 00:02:00,"2016-07-11","00:02:00",NA,NA,NA,0,2,NA,NA,NA,"City to Airport",2,"Late Night (00:00 to 04:00)",NA
"3",1367,"City",155,"Trip Completed",2016-07-11 00:05:00,"2016-07-11","00:05:00",2016-07-11 01:06:00,"2016-07-11","01:06:00",0,5,1,6,61,"City to Airport",3,"Late Night (00:00 to 04:00)",674.857142857143
"4",1364,"City",NA,"No Cars Available",2016-07-11 00:06:00,"2016-07-11","00:06:00",NA,NA,NA,0,6,NA,NA,NA,"City to Airport",4,"Late Night (00:00 to 04:00)",NA
"5",1365,"City",229,"Cancelled",2016-07-11 00:09:00,"2016-07-11","00:09:00",NA,NA,NA,0,9,NA,NA,NA,"City to Airport",5,"Late Night (00:00 to 04:00)",NA
"6",1366,"City",NA,"No Cars Available",2016-07-11 00:09:00,"2016-07-11","00:09:00",NA,NA,NA,0,9,NA,NA,NA,"City to Airport",6,"Late Night (00:00 to 04:00)",NA
"7",1,"Airport",285,"Trip Completed",2016-07-11 00:20:00,"2016-07-11","00:20:00",2016-07-11 00:51:00,"2016-07-11","00:51:00",0,20,0,51,31,"Airport to City",7,"Late Night (00:00 to 04:00)",NA
"8",2,"Airport",NA,"No Cars Available",2016-07-11 00:23:00,"2016-07-11","00:23:00",NA,NA,NA,0,23,NA,NA,NA,"Airport to City",8,"Late Night (00:00 to 04:00)",NA
"9",3,"Airport",80,"Trip Completed",2016-07-11 00:24:00,"2016-07-11","00:24:00",2016-07-11 01:31:00,"2016-07-11","01:31:00",0,24,1,31,67,"Airport to City",9,"Late Night (00:00 to 04:00)",NA
"10",7,"Airport",NA,"No Cars Available",2016-07-11 00:30:00,"2016-07-11","00:30:00",NA,NA,NA,0,30,NA,NA,NA,"Airport to City",10,"Late Night (00:00 to 04:00)",NA
"11",5,"Airport",264,"Trip Completed",2016-07-11 00:36:00,"2016-07-11","00:36:00",2016-07-11 01:35:00,"2016-07-11","01:35:00",0,36,1,35,59,"Airport to City",11,"Late Night (00:00 to 04:00)",NA
"12",6,"City",NA,"No Cars Available",2016-07-11 00:36:00,"2016-07-11","00:36:00",NA,NA,NA,0,36,NA,NA,NA,"City to Airport",12,"Late Night (00:00 to 04:00)",NA
"13",4,"City",NA,"No Cars Available",2016-07-11 00:37:00,"2016-07-11","00:37:00",NA,NA,NA,0,37,NA,NA,NA,"City to Airport",13,"Late Night (00:00 to 04:00)",NA
"14",8,"City",NA,"No Cars Available",2016-07-11 00:40:00,"2016-07-11","00:40:00",NA,NA,NA,0,40,NA,NA,NA,"City to Airport",14,"Late Night (00:00 to 04:00)",NA
"15",9,"Airport",235,"Trip Completed",2016-07-11 00:45:00,"2016-07-11","00:45:00",2016-07-11 02:00:00,"2016-07-11","02:00:00",0,45,2,0,75,"Airport to City",15,"Late Night (00:00 to 04:00)",NA
"16",10,"City",228,"Trip Completed",2016-07-11 00:54:00,"2016-07-11","00:54:00",2016-07-11 01:59:00,"2016-07-11","01:59:00",0,54,1,59,65,"City to Airport",16,"Late Night (00:00 to 04:00)",560
"17",11,"City",198,"Trip Completed",2016-07-11 01:00:00,"2016-07-11","01:00:00",2016-07-11 01:53:00,"2016-07-11","01:53:00",1,0,1,53,53,"City to Airport",17,"Late Night (00:00 to 04:00)",759
"18",13,"City",119,"Trip Completed",2016-07-11 01:08:00,"2016-07-11","01:08:00",2016-07-11 01:58:00,"2016-07-11","01:58:00",1,8,1,58,50,"City to Airport",18,"Late Night (00:00 to 04:00)",759
"19",12,"City",NA,"No Cars Available",2016-07-11 01:08:00,"2016-07-11","01:08:00",NA,NA,NA,1,8,NA,NA,NA,"City to Airport",19,"Late Night (00:00 to 04:00)",NA
"20",16,"Airport",NA,"No Cars Available",2016-07-11 01:09:00,"2016-07-11","01:09:00",NA,NA,NA,1,9,NA,NA,NA,"Airport to City",20,"Late Night (00:00 to 04:00)",NA
"21",14,"Airport",NA,"No Cars Available",2016-07-11 01:10:00,"2016-07-11","01:10:00",NA,NA,NA,1,10,NA,NA,NA,"Airport to City",21,"Late Night (00:00 to 04:00)",NA
"22",19,"City",NA,"No Cars Available",2016-07-11 01:14:00,"2016-07-11","01:14:00",NA,NA,NA,1,14,NA,NA,NA,"City to Airport",22,"Late Night (00:00 to 04:00)",NA
"23",15,"City",NA,"No Cars Available",2016-07-11 01:15:00,"2016-07-11","01:15:00",NA,NA,NA,1,15,NA,NA,NA,"City to Airport",23,"Late Night (00:00 to 04:00)",NA
"24",18,"City",201,"Cancelled",2016-07-11 01:16:00,"2016-07-11","01:16:00",NA,NA,NA,1,16,NA,NA,NA,"City to Airport",24,"Late Night (00:00 to 04:00)",NA
